admin,administrator,admin12,1010100010,,,,,,,,,
geethu,1ZEHGV1OEO,fnkldf,7544545454,DSG APARTMENTS        ,KOLKATA,dhith,7887878879,FD APARTMENTS,BANGALORE,3,5700,24-03-2019
aryan,2193FXOMH5,riya,2323232377,        street no-55,THIRUVANANTHAPURAM,dsalbj,7684634364,jain road,CHENNAI,10,8000,04-02-2019
sara,2ZQJL5U95U,abcsd,6335336511,bandra,BOMBAY,diyas,4545554545,KOTI,HYDERABAD,6,4200,04-04-2019
thanu,3CXVS2A6NG,dhara,7845455455,arha apartments        ,CHENNAI,druv,788878877,ds apartments,KOLKATA,7,11900,13-02-2019
keerthi,3Z5Z4VVC16,keerthi,7878789899,"#31,ganga block        ",BOMBAY,geeta,7897897897,jntu college,KOLKATA,5,10000,06-03-2019
keerthi,5DI617LQ24,asdkjsb,6335336545,cossipur,KOLKATA,sackj,5656565600,dahisar,BOMBAY,5,10000,06-02-2019
keerthi,6K08GR9TEC,keerthi,7897898798,aranya college        ,CHENNAI,dsed,7898888887,"#21,nitish estates",HYDERABAD,2,1400,16-01-2019
geethu,6PSZ8JXJ2G,sartak,6335336544,"#32,amma street",BANGALORE,dheeraj,7878978978,"#43,prestige tower",CHENNAI,6,2400,18-03-2019
geethu,77BBUD22UQ,lalita,9989196912,        manyatha building 1st floor,CHENNAI,akash,8908899678,lakshmi building ,BOMBAY,4,5600,18-02-2019
vidya,7IHOYK41PW,vidya,454545665,asha apartments        ,THIRUVANANTHAPURAM,gjai,6565656665,"#231,sakhi residencies",KOLKATA,3,7500,25-12-2019
alia,B0M1SZ9923,svaj,6335336500,Akathumuri,THIRUVANANTHAPURAM,cakdj,6878878788,bandra,BOMBAY,5,7000,03-01-2019
tara,CI25L0VEV8,pradeep,8987868584,"        #671, krishna apartments",CHENNAI,regina,7879767574,"#890, rajpushpa",BOMBAY,6,8400,21-02-2019
sara,DKIDTTH8BS,sara,6335336511,ashok nagar,CHENNAI,dsecs,6335336511,Maheshtala,KOLKATA,3,5100,02-01-2019
keerthi,EGEIBBEY5N,vidya,34567897,        BOMBAY,KOLKATA,diya,7877787878,HYDERABAD,HYDERABAD,5,7500,12-02-2019
dev,FB6ECNSNU9,sanlk,2121212111,goregaon,BOMBAY,efwbkj,9874544554,bonacaud,THIRUVANANTHAPURAM,2,2800,26-02-2019
thanu,FRBC1B02AF,sdavh,8978878978,virodha apartments        ,KOLKATA,bhavana,789878787,sahan apartments,HYDERABAD,3,4500,13-03-2019
aryan,H9TPK0PXJM,sadnkla,2323232345,        stree-64,BOMBAY,fdakn,6464646600,water tank road,CHENNAI,6,8400,07-03-2019
thanu,HDP9IK82NB,tara,6565656565,sbi colony,BANGALORE,diya,6464646666,mg road,HYDERABAD,3,2400,03-02-2019
keerthi,HFHE75DZTU,sdfgbk,2323232456,street-60,HYDERABAD,gfljfdl,4564564564,alandur,CHENNAI,4,2800,06-03-2019
tara,HI85XLF8XR,archana,9799998712,        kengeri,BANGALORE,keerti,9036089713,"#129, g block godavari apt",CHENNAI,9,3600,08-04-2019
sara,IV9FQR5E6C,sara,6335336545,ayanavaram,BANGALORE,padmanabh nagar,6335336511,Amtala,KOLKATA,3,5700,04-04-2019
tara,JAL1799DC6,ravi,7873728988,"        #678, mantri",BANGALORE,divya,6761123489,"#409, c block, brigade",BOMBAY,7,7000,12-03-2019
alia,KP5IUQAO9V,agjhgd,2323232300, banashankari,BANGALORE,sadakj,6464646601,chinar park,KOLKATA,6,11400,05-02-2019
sara,KPFDGYDDE1,assak,6335336545,AKG Nagar,THIRUVANANTHAPURAM,sdkgadkg,6335336511,dahisar,BOMBAY,3,4200,12-03-2019
tara,KXGN77XISE,tatra,9897969594,"        road no 12 , jublee hills",HYDERABAD,priya,6768696543,"road no 10, church street",BANGALORE,7,4200,01-03-2019
dev,MCLAFBSAP6,dev,6335336540,gandhi nagar,BANGALORE,dsbkj,5656565656,jogeshwari,BOMBAY,5,5000,01-02-2019
aryan,ND9WQ53QOS,abjgg,2323232322,        street-21,KOLKATA,diya,6464646644,mg road,HYDERABAD,5,7500,01-04-2019
keerthi,NKI16EWRXI,harsh,2323232323,national games village,BANGALORE,geeta,5656565656,jawaharlal street,HYDERABAD,5,4000,02-02-2019
alia,NOT9TW16JI,asdbkj,2323232311,Anna Nagar,CHENNAI,vknbn,6464646001,andheri,BOMBAY,2,2800,05-02-2019
vidya,NPJXZLD7UU,vihan,65655555,gandhi street   ,BOMBAY,harhi,4546564,jyothi block,THIRUVANANTHAPURAM,5,7000,14-02-2019
dev,P5GHDNJDW4,dev,4578787899,kandivali,BOMBAY,calhlkh,456545445,phool bagan,KOLKATA,6,12000,01-05-2019
tara,PAMXGCAMAT,karan,987654321," #123 ram nagar, kolkata",KOLKATA,anand,6768656463,#921 arvind nagar,THIRUVANANTHAPURAM,8,20000,13-03-2019
aryan,QG2GVWOKIZ,abcd,6335336545,        street no:65,BOMBAY,dsed,6331545444,jawaharlal street,KOLKATA,3,6000,03-04-2019
keerthi,QNQQPQM8LQ,abcs,6335336545,n0326,BANGALORE,dser,6335336544,gandhi marg,CHENNAI,5,2000,01-01-2019
alia,RD0GR5YVYR,chsag,2323232300,Indira nagar,BANGALORE,hgfkfkh,6335336540,dilsukhnagar,HYDERABAD,10,8000,03-04-2019
aryan,S164M9FL24,varsha,6335336540,"        street no-46,indira road",THIRUVANANTHAPURAM,ritu,6331545477,jayadeva road,HYDERABAD,3,2100,07-03-2019
